,RegionName,CountyName,index_first,index_last,percent_change
59,30238,Clayton County,1553.2874021893729,1753.5863095238094,12.895160744374376
60,30097,Gwinnett County,1948.9815466740783,2024.9740643274852,3.8990886180060276
61,30236,Clayton County,1587.6172543574116,1889.4171245421248,19.0096113755621
62,30101,Cobb County,1894.3125154342476,2094.10582010582,10.547008640006378
63,30228,Henry County,1855.3698736663723,2052.212292609351,10.6093357306703
64,30102,Cherokee County,1859.262732552803,2089.661111111111,12.391921514070612
65,30215,Fayette County,1863.3814028649165,2208.2658730158732,18.50852807807907
66,30106,Cobb County,1615.9473551276203,1756.371794871795,8.689914265993183
69,30213,Fulton County,1968.4430732428057,2177.9676434676435,10.64417727253183
70,30114,Cherokee County,2102.546320576779,2304.026418026418,9.582671044049484
71,30189,Cherokee County,1956.8074301483368,2077.078787878788,6.146305245853126
72,30115,Cherokee County,1971.4589737956796,2193.2916666666665,11.252209445874954
73,30188,Cherokee County,2046.2834309051627,2233.7791666666667,9.162745147116116
74,30122,Douglas County,1514.2993501810265,1597.7306397306395,5.5095638481017115
75,30168,Cobb County,1565.6722547918364,1904.857142857143,21.6638499550088
76,30126,Cobb County,1937.8342258928656,2204.9680134680134,13.785172333410758
77,30157,Paulding County,1816.682139129769,2017.422105672106,11.04981230445167
78,30127,Cobb County,1798.845031385015,2084.2457264957266,15.865774434775412
79,30152,Cobb County,1842.9483062211737,2055.3856209150326,11.52703599860843
80,30132,Paulding County,2005.009859505331,2172.996753246753,8.378357490115649
81,30144,Cobb County,1806.9894637570917,1865.877104377104,3.258881238719183
82,30141,Paulding County,1776.2568088245446,2021.2857142857144,13.794677900394378
83,30134,Douglas County,1649.5717059164888,1857.3111111111111,12.593535912960146
84,30248,Henry County,1935.2111995951336,2140.662962962963,10.616503429228391
86,30096,Gwinnett County,1879.8319907602208,1914.8847863247863,1.8646770422493888
87,30094,Rockdale County,1731.541000947368,1891.063492063492,9.212746970983961
89,30305,Fulton County,2020.568991984048,2196.705585498452,8.717177894601411
90,30075,Fulton County,2136.9009533987337,2239.388095238095,4.796064210479943
93,30076,Fulton County,1911.9340473243435,2112.852813852814,10.50866617547014
94,30296,Clayton County,1533.2754663525702,1749.6984126984128,14.115072672536783
95,30078,Gwinnett County,1793.2022919889512,1968.221212121212,9.760132524598577
96,30294,Henry County,1789.3792513578742,2038.962037962038,13.948009423646074
97,30080,Cobb County,1737.7753077414256,1828.894675925926,5.2434493561154145
98,30291,Fulton County,1720.827426105087,1940.4833333333331,12.764551743890692
99,30082,Cobb County,1779.362517334042,1884.272967772968,5.89595708670484
101,30083,Dekalb County,1467.9376146130146,1596.6797979797975,8.77027620827896
102,30281,Henry County,1634.138380875405,1737.3666822502728,6.316986528372749
103,30084,Dekalb County,1895.9005430033792,2126.6666666666665,12.171847543105851
104,30274,Clayton County,1554.3130796160112,1738.7777777777776,11.867924202718404
105,30087,Dekalb County,1688.7942643109732,2011.7555555555557,19.123779495802022
106,30273,Clayton County,1616.3055295721583,1830.8869047619048,13.276040405958826
107,30088,Dekalb County,1578.1634645388451,1674.434920634921,6.100220811042996
108,30269,Fayette County,1906.1989698322288,2054.5839062897885,7.784336200256132
109,30092,Gwinnett County,1424.4985942753908,1482.823717948718,4.094431816761169
111,30093,Gwinnett County,1364.435721788114,1484.851684263449,8.825330541590333
112,30253,Henry County,1917.6652241560391,1982.1387961933012,3.3620869391129933
113,30252,Henry County,1988.943563692589,2125.5857142857144,6.870086868600808
114,30013,Rockdale County,1631.932331145255,1702.1645021645024,4.303620295944508
115,30135,Douglas County,1756.800901548885,1900.800925925926,8.196718492692225
116,30005,Fulton County,2136.186522071822,2211.9349783549783,3.545966398556354
117,30518,Gwinnett County,1985.491865606768,2215.6007326007325,11.589514466413744
120,30008,Cobb County,1627.1694652292863,1954.8148148148148,20.135908188232847
123,30519,Gwinnett County,2151.97993936308,2288.0774572649575,6.324293057404525
124,30009,Fulton County,2354.860102654989,2621.952380952381,11.34217179170256
